,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
OCCUPANTS PER ROOM,        1.01 to 1.50,"21,375","±2,424",1.10%,±0.1,"8,277","±1,354",3.10%,±0.5,"88,895","±5,920",3.20%,±0.2,"20,526","±2,846",1.70%,±0.2,"671,211","±14,631",5.00%,±0.1,"35,612","±3,844",1.50%,±0.2,"19,216","±2,586",1.30%,±0.2,"5,254","±1,436",1.30%,±0.4,"5,374","±1,624",1.70%,±0.5,"183,245","±8,397",2.10%,±0.1,"63,598","±5,432",1.60%,±0.1,"25,768","±2,660",5.30%,±0.5,"15,983","±2,565",2.30%,±0.4,"81,403","±4,836",1.60%,±0.1,"34,754","±4,065",1.30%,±0.2,"14,004","±2,000",1.10%,±0.2,"15,620","±2,015",1.30%,±0.2,"25,206","±2,798",1.40%,±0.2,"31,789","±3,411",1.80%,±0.2,"4,233","±1,035",0.70%,±0.2,"39,891","±4,090",1.70%,±0.2,"40,967","±3,898",1.50%,±0.1,"51,869","±3,826",1.30%,±0.1,"31,545","±2,981",1.40%,±0.1,"16,440","±2,682",1.50%,±0.2,"28,209","±2,871",1.10%,±0.1,"5,635","±1,269",1.30%,±0.3,"11,068","±1,914",1.40%,±0.2,"30,721","±2,673",2.60%,±0.2,"4,678","±1,384",0.90%,±0.3,"83,092","±5,483",2.40%,±0.2,"16,782","±2,432",2.00%,±0.3,"230,367","±8,786",3.00%,±0.1,"62,487","±5,047",1.50%,±0.1,"4,769","±1,362",1.50%,±0.4,"49,556","±4,386",1.00%,±0.1,"29,889","±2,511",1.90%,±0.2,"35,146","±3,239",2.10%,±0.2,"52,846","±4,507",1.00%,±0.1,"5,199","±1,520",1.20%,±0.3,"27,276","±2,807",1.30%,±0.1,"5,784","±1,177",1.60%,±0.3,"42,950","±4,600",1.60%,±0.2,"352,503","±15,117",3.30%,±0.1,"25,183","±3,168",2.30%,±0.3,"2,998","±1,068",1.10%,±0.4,"46,053","±3,968",1.40%,±0.1,"64,568","±4,555",2.10%,±0.2,"5,635","±1,280",0.80%,±0.2,"31,810","±3,211",1.30%,±0.1,"4,594","±1,177",1.90%,±0.5,"21,323","±2,658",1.80%,±0.2
OCCUPANTS PER ROOM,        1.51 or more,"9,138","±1,714",0.50%,±0.1,"6,569","±1,220",2.40%,±0.4,"43,721","±3,829",1.60%,±0.1,"9,682","±2,349",0.80%,±0.2,"428,378","±11,478",3.20%,±0.1,"19,177","±2,526",0.80%,±0.1,"9,502","±1,934",0.70%,±0.1,"2,383",±772,0.60%,±0.2,"5,191","±1,434",1.60%,±0.5,"89,192","±6,396",1.00%,±0.1,"22,904","±3,133",0.60%,±0.1,"17,100","±2,142",3.50%,±0.4,"5,573","±1,435",0.80%,±0.2,"37,221","±3,520",0.70%,±0.1,"15,682","±2,349",0.60%,±0.1,"5,654","±1,177",0.40%,±0.1,"9,181","±1,693",0.80%,±0.1,"9,627","±2,158",0.50%,±0.1,"13,440","±2,518",0.80%,±0.1,"2,923",±896,0.50%,±0.2,"19,568","±2,511",0.80%,±0.1,"19,134","±2,329",0.70%,±0.1,"19,395","±2,318",0.50%,±0.1,"18,178","±2,699",0.80%,±0.1,"6,765","±1,720",0.60%,±0.2,"10,317","±2,024",0.40%,±0.1,"2,902",±979,0.60%,±0.2,"4,795",±900,0.60%,±0.1,"18,911","±2,649",1.60%,±0.2,"3,513",±885,0.60%,±0.2,"47,680","±4,266",1.40%,±0.1,"7,855","±1,562",0.90%,±0.2,"165,066","±7,385",2.20%,±0.1,"27,953","±3,392",0.70%,±0.1,"3,122","±1,234",1.00%,±0.4,"20,223","±2,949",0.40%,±0.1,"11,608","±1,476",0.70%,±0.1,"19,645","±2,890",1.20%,±0.2,"28,569","±3,300",0.50%,±0.1,"3,004","±1,087",0.70%,±0.2,"10,849","±2,194",0.50%,±0.1,"2,697",±850,0.80%,±0.2,"15,447","±2,652",0.60%,±0.1,"174,271","±10,384",1.60%,±0.1,"10,903","±2,027",1.00%,±0.2,"1,973",±746,0.70%,±0.3,"19,267","±2,409",0.60%,±0.1,"38,235","±3,541",1.30%,±0.1,"2,676",±979,0.40%,±0.1,"12,078","±1,868",0.50%,±0.1,"1,364",±810,0.60%,±0.3,"5,183","±1,094",0.40%,±0.1
VALUE,    Owner-occupied units,"1,377,932","±12,342","1,377,932",(X),"181,145","±3,790","181,145",(X),"1,905,690","±14,256","1,905,690",(X),"793,038","±9,392","793,038",(X),"7,502,706","±28,590","7,502,706",(X),"1,546,233","±12,044","1,546,233",(X),"951,516","±9,355","951,516",(X),"287,111","±5,513","287,111",(X),"132,936","±4,071","132,936",(X),"5,772,329","±30,900","5,772,329",(X),"2,642,126","±20,935","2,642,126",(X),"306,653","±6,699","306,653",(X),"498,872","±7,387","498,872",(X),"3,370,654","±19,529","3,370,654",(X),"1,905,849","±13,015","1,905,849",(X),"935,111","±9,676","935,111",(X),"776,740","±8,683","776,740",(X),"1,225,996","±12,463","1,225,996",(X),"1,200,910","±11,783","1,200,910",(X),"444,231","±5,856","444,231",(X),"1,597,663","±11,011","1,597,663",(X),"1,742,436","±12,565","1,742,436",(X),"2,966,347","±14,453","2,966,347",(X),"1,665,101","±11,511","1,665,101",(X),"787,068","±9,871","787,068",(X),"1,698,595","±14,258","1,698,595",(X),"311,861","±5,221","311,861",(X),"532,582","±5,988","532,582",(X),"704,548","±8,320","704,548",(X),"397,225","±5,983","397,225",(X),"2,252,974","±15,472","2,252,974",(X),"579,708","±8,803","579,708",(X),"4,239,037","±23,273","4,239,037",(X),"2,794,211","±16,553","2,794,211",(X),"203,549","±5,171","203,549",(X),"3,246,486","±19,196","3,246,486",(X),"1,013,837","±7,604","1,013,837",(X),"1,086,030","±10,492","1,086,030",(X),"3,657,478","±16,907","3,657,478",(X),"278,449","±6,180","278,449",(X),"1,471,296","±13,675","1,471,296",(X),"247,630","±4,277","247,630",(X),"1,869,046","±15,265","1,869,046",(X),"6,761,002","±34,434","6,761,002",(X),"768,062","±8,177","768,062",(X),"196,291","±3,522","196,291",(X),"2,252,170","±16,884","2,252,170",(X),"1,933,901","±14,745","1,933,901",(X),"542,805","±6,932","542,805",(X),"1,668,575","±11,831","1,668,575",(X),"173,247","±4,358","173,247",(X),"800,555","±10,264","800,555",(X)
VALUE,"        Less than $50,000","152,320","±6,330",11.10%,±0.4,"9,697","±1,338",5.40%,±0.7,"125,692","±5,310",6.60%,±0.3,"87,515","±4,432",11.00%,±0.5,"206,642","±7,495",2.80%,±0.1,"52,202","±4,042",3.40%,±0.3,"26,645","±2,803",2.80%,±0.3,"15,779","±1,901",5.50%,±0.6,"2,027",±708,1.50%,±0.5,"330,619","±10,511",5.70%,±0.2,"183,254","±7,768",6.90%,±0.3,"3,193",±840,1.00%,±0.3,"26,886","±2,653",5.40%,±0.5,"204,173","±6,484",6.10%,±0.2,"132,559","±5,100",7.00%,±0.3,"69,806","±3,808",7.50%,±0.4,"73,038","±3,637",9.40%,±0.4,"125,030","±5,956",10.20%,±0.5,"121,763","±6,138",10.10%,±0.5,"27,498","±2,175",6.20%,±0.5,"52,895","±3,533",3.30%,±0.2,"38,347","±3,818",2.20%,±0.2,"255,911","±8,079",8.60%,±0.3,"80,852","±3,775",4.90%,±0.2,"121,914","±5,807",15.50%,±0.7,"130,664","±5,336",7.70%,±0.3,"17,862","±1,864",5.70%,±0.6,"36,971","±2,310",6.90%,±0.4,"29,979","±2,123",4.30%,±0.3,"14,776","±1,866",3.70%,±0.5,"63,761","±4,289",2.80%,±0.2,"64,578","±3,972",11.10%,±0.7,"188,180","±7,310",4.40%,±0.2,"190,560","±6,822",6.80%,±0.2,"18,145","±1,801",8.90%,±0.9,"237,308","±6,829",7.30%,±0.2,"99,412","±3,745",9.80%,±0.4,"45,906","±3,691",4.20%,±0.3,"236,393","±7,721",6.50%,±0.2,"6,299","±1,191",2.30%,±0.4,"135,050","±6,644",9.20%,±0.5,"22,942","±2,037",9.30%,±0.8,"114,961","±5,730",6.20%,±0.3,"470,741","±14,017",7.00%,±0.2,"28,401","±2,625",3.70%,±0.3,"9,209","±1,151",4.70%,±0.6,"97,430","±4,794",4.30%,±0.2,"63,303","±4,041",3.30%,±0.2,"78,586","±4,195",14.50%,±0.7,"73,688","±3,517",4.40%,±0.2,"11,037","±1,388",6.40%,±0.8,"62,490","±4,169",7.80%,±0.5
VALUE,"        $50,000 to $99,999","214,121","±7,906",15.50%,±0.5,"7,465","±1,034",4.10%,±0.6,"73,229","±4,235",3.80%,±0.2,"136,544","±5,421",17.20%,±0.6,"143,160","±5,969",1.90%,±0.1,"33,346","±2,971",2.20%,±0.2,"22,266","±2,433",2.30%,±0.2,"10,566","±1,844",3.70%,±0.6,594,±372,0.40%,±0.3,"332,115","±10,621",5.80%,±0.2,"213,818","±8,574",8.10%,±0.3,"4,591",±893,1.50%,±0.3,"17,693","±1,928",3.50%,±0.4,"363,415","±9,151",10.80%,±0.3,"263,454","±7,332",13.80%,±0.4,"137,109","±4,581",14.70%,±0.4,"121,870","±4,883",15.70%,±0.6,"180,015","±6,430",14.70%,±0.5,"148,950","±7,082",12.40%,±0.6,"38,832","±2,469",8.70%,±0.6,"40,994","±3,346",2.60%,±0.2,"18,913","±2,204",1.10%,±0.1,"342,898","±7,342",11.60%,±0.2,"78,652","±3,269",4.70%,±0.2,"155,882","±6,608",19.80%,±0.8,"202,020","±6,334",11.90%,±0.3,"18,197","±1,685",5.80%,±0.5,"54,405","±2,721",10.20%,±0.5,"12,711","±1,636",1.80%,±0.2,"11,132","±1,616",2.80%,±0.4,"50,218","±3,420",2.20%,±0.1,"49,702","±3,178",8.60%,±0.5,"307,362","±8,999",7.30%,±0.2,"262,527","±9,195",9.40%,±0.3,"18,930","±1,716",9.30%,±0.8,"454,304","±10,325",14.00%,±0.3,"161,460","±5,680",15.90%,±0.5,"29,850","±2,830",2.70%,±0.3,"407,630","±9,058",11.10%,±0.2,"2,630",±795,0.90%,±0.3,"171,554","±6,771",11.70%,±0.5,"24,674","±1,910",10.00%,±0.8,"193,155","±7,288",10.30%,±0.4,"650,258","±14,617",9.60%,±0.2,"11,008","±1,634",1.40%,±0.2,"9,734","±1,345",5.00%,±0.7,"111,048","±4,605",4.90%,±0.2,"37,090","±2,744",1.90%,±0.1,"112,603","±4,607",20.70%,±0.8,"121,615","±4,415",7.30%,±0.3,"5,421","±1,206",3.10%,±0.7,"255,913","±8,515",32.00%,±0.9
VALUE,"        $100,000 to $149,999","206,515","±7,841",15.00%,±0.5,"10,389","±1,512",5.70%,±0.8,"85,306","±5,267",4.50%,±0.3,"131,059","±6,267",16.50%,±0.8,"109,937","±5,542",1.50%,±0.1,"31,358","±2,685",2.00%,±0.2,"47,527","±3,981",5.00%,±0.4,"13,414","±1,786",4.70%,±0.6,"1,729",±598,1.30%,±0.4,"374,525","±9,488",6.50%,±0.2,"243,440","±8,894",9.20%,±0.3,"4,724",±818,1.50%,±0.3,"19,875","±1,974",4.00%,±0.4,"392,672","±8,652",11.60%,±0.2,"314,069","±9,821",16.50%,±0.5,"160,984","±5,552",17.20%,±0.6,"108,202","±4,394",13.90%,±0.5,"196,487","±7,617",16.00%,±0.5,"151,060","±6,822",12.60%,±0.6,"42,383","±2,905",9.50%,±0.6,"59,635","±4,015",3.70%,±0.2,"26,405","±2,411",1.50%,±0.1,"407,304","±9,483",13.70%,±0.3,"117,549","±3,780",7.10%,±0.2,"125,256","±5,738",15.90%,±0.7,"247,599","±8,074",14.60%,±0.4,"17,560","±1,524",5.60%,±0.5,"69,597","±3,212",13.10%,±0.6,"16,866","±1,740",2.40%,±0.2,"15,615","±1,796",3.90%,±0.4,"74,481","±4,425",3.30%,±0.2,"67,792","±4,349",11.70%,±0.8,"354,290","±9,655",8.40%,±0.2,"314,746","±10,446",11.30%,±0.4,"21,239","±2,510",10.40%,±1.2,"550,168","±11,227",16.90%,±0.3,"168,668","±5,222",16.60%,±0.5,"28,057","±3,157",2.60%,±0.3,"433,265","±10,240",11.80%,±0.3,"5,297","±1,393",1.90%,±0.5,"166,036","±7,945",11.30%,±0.5,"26,752","±2,264",10.80%,±0.9,"209,320","±7,309",11.20%,±0.4,"695,179","±16,224",10.30%,±0.2,"11,683","±1,767",1.50%,±0.2,"17,821","±1,651",9.10%,±0.8,"143,109","±5,926",6.40%,±0.3,"37,078","±3,401",1.90%,±0.2,"90,168","±5,420",16.60%,±0.9,"213,290","±5,832",12.80%,±0.3,"15,692","±2,137",9.10%,±1.2,"242,348","±6,948",30.30%,±0.8
VALUE,"        $150,000 to $199,999","214,277","±7,601",15.60%,±0.5,"14,587","±1,643",8.10%,±0.9,"137,958","±5,826",7.20%,±0.3,"141,984","±6,101",17.90%,±0.8,"134,105","±7,011",1.80%,±0.1,"43,802","±3,099",2.80%,±0.2,"105,876","±5,459",11.10%,±0.6,"26,026","±2,676",9.10%,±0.9,"1,728","±1,200",1.30%,±0.9,"598,544","±14,370",10.40%,±0.2,"354,263","±11,736",13.40%,±0.4,"4,293","±1,018",1.40%,±0.3,"31,551","±2,838",6.30%,±0.6,"466,577","±10,256",13.80%,±0.3,"347,938","±8,381",18.30%,±0.4,"165,546","±5,490",17.70%,±0.5,"117,839","±5,435",15.20%,±0.6,"209,202","±6,385",17.10%,±0.5,"204,036","±7,555",17.00%,±0.6,"56,068","±3,543",12.60%,±0.8,"109,084","±5,470",6.80%,±0.3,"54,486","±3,980",3.10%,±0.2,"484,498","±9,406",16.30%,±0.3,"174,769","±5,276",10.50%,±0.3,"120,273","±5,867",15.30%,±0.7,"277,395","±10,189",16.30%,±0.6,"28,909","±2,655",9.30%,±0.8,"97,416","±4,569",18.30%,±0.8,"29,623","±2,970",4.20%,±0.4,"29,104","±2,695",7.30%,±0.7,"144,906","±7,672",6.40%,±0.3,"86,600","±5,299",14.90%,±0.8,"402,601","±9,418",9.50%,±0.2,"386,534","±9,595",13.80%,±0.3,"26,543","±2,316",13.00%,±1.1,"562,742","±10,496",17.30%,±0.3,"180,618","±6,692",17.80%,±0.6,"38,263","±3,599",3.50%,±0.3,"548,033","±11,204",15.00%,±0.3,"13,992","±1,950",5.00%,±0.7,"212,480","±8,294",14.40%,±0.5,"35,598","±2,870",14.40%,±1.1,"260,338","±8,384",13.90%,±0.4,"913,194","±17,976",13.50%,±0.2,"24,748","±2,342",3.20%,±0.3,"25,160","±1,976",12.80%,±1.0,"212,871","±7,497",9.50%,±0.3,"58,649","±3,436",3.00%,±0.2,"90,145","±5,356",16.60%,±1.0,"282,400","±6,467",16.90%,±0.4,"24,427","±2,784",14.10%,±1.6,"122,541","±6,581",15.30%,±0.8
VALUE,"        $200,000 to $299,999","275,310","±9,312",20.00%,±0.7,"46,249","±3,781",25.50%,±1.9,"383,092","±9,538",20.10%,±0.5,"155,172","±6,262",19.60%,±0.7,"464,974","±10,693",6.20%,±0.1,"150,764","±6,113",9.80%,±0.4,"251,138","±7,558",26.40%,±0.7,"77,450","±4,095",27.00%,±1.3,"6,119","±1,635",4.60%,±1.2,"1,380,942","±18,800",23.90%,±0.3,"634,841","±14,917",24.00%,±0.5,"13,249","±2,018",4.30%,±0.7,"81,797","±4,086",16.40%,±0.8,"784,430","±14,330",23.30%,±0.4,"432,443","±9,021",22.70%,±0.5,"204,505","±5,956",21.90%,±0.6,"162,573","±5,033",20.90%,±0.6,"256,924","±7,225",21.00%,±0.6,"294,841","±9,862",24.60%,±0.8,"102,381","±4,250",23.00%,±0.9,"286,567","±8,084",17.90%,±0.5,"213,281","±6,671",12.20%,±0.4,"683,100","±10,929",23.00%,±0.4,"447,053","±9,011",26.80%,±0.5,"143,638","±7,455",18.20%,±0.9,"396,411","±9,443",23.30%,±0.6,"60,340","±3,819",19.30%,±1.2,"138,419","±4,763",26.00%,±0.9,"127,725","±5,166",18.10%,±0.7,"83,946","±4,218",21.10%,±1.0,"382,719","±9,722",17.00%,±0.4,"137,043","±6,027",23.60%,±1.0,"559,872","±11,826",13.20%,±0.3,"620,135","±12,459",22.20%,±0.4,"59,805","±3,132",29.40%,±1.5,"719,724","±11,689",22.20%,±0.4,"209,692","±6,177",20.70%,±0.6,"132,840","±5,914",12.20%,±0.5,"853,346","±14,010",23.30%,±0.3,"76,145","±4,822",27.30%,±1.5,"332,696","±10,325",22.60%,±0.6,"63,361","±3,419",25.60%,±1.3,"427,499","±10,698",22.90%,±0.5,"1,597,263","±22,561",23.60%,±0.3,"99,670","±5,269",13.00%,±0.7,"49,760","±2,604",25.40%,±1.2,"449,619","±11,004",20.00%,±0.5,"196,701","±6,987",10.20%,±0.3,"94,863","±4,515",17.50%,±0.8,"435,004","±8,201",26.10%,±0.4,"45,699","±3,046",26.40%,±1.6,"74,729","±4,877",9.30%,±0.6
VALUE,"        $300,000 to $499,999","220,481","±6,403",16.00%,±0.5,"67,659","±3,481",37.40%,±1.7,"670,511","±12,415",35.20%,±0.5,"95,301","±5,370",12.00%,±0.6,"1,547,969","±21,200",20.60%,±0.3,"559,328","±10,028",36.20%,±0.6,"307,197","±8,003",32.30%,±0.8,"104,441","±4,349",36.40%,±1.5,"30,891","±2,617",23.20%,±1.9,"1,746,446","±20,817",30.30%,±0.3,"650,484","±12,182",24.60%,±0.4,"54,742","±4,483",17.90%,±1.3,"184,718","±7,355",37.00%,±1.3,"781,189","±13,944",23.20%,±0.4,"311,272","±8,183",16.30%,±0.4,"149,728","±5,100",16.00%,±0.5,"137,500","±4,350",17.70%,±0.6,"188,427","±6,894",15.40%,±0.6,"198,795","±6,749",16.60%,±0.6,"116,895","±5,384",26.30%,±1.1,"598,062","±10,682",37.40%,±0.6,"575,792","±11,917",33.00%,±0.6,"566,674","±9,961",19.10%,±0.3,"536,561","±8,504",32.20%,±0.4,"89,753","±4,428",11.40%,±0.5,"320,559","±8,259",18.90%,±0.4,"95,046","±4,469",30.50%,±1.4,"101,537","±4,027",19.10%,±0.7,"312,893","±7,991",44.40%,±1.0,"161,151","±5,539",40.60%,±1.3,"812,325","±13,667",36.10%,±0.5,"115,144","±5,157",19.90%,±0.9,"864,728","±15,901",20.40%,±0.3,"663,868","±14,767",23.80%,±0.5,"44,907","±3,020",22.10%,±1.4,"533,896","±10,523",16.40%,±0.3,"140,721","±4,439",13.90%,±0.4,"429,660","±9,956",39.60%,±0.8,"804,276","±11,868",22.00%,±0.3,"113,651","±4,842",40.80%,±1.5,"290,535","±7,926",19.70%,±0.5,"52,310","±3,475",21.10%,±1.3,"422,553","±10,789",22.60%,±0.5,"1,554,718","±19,443",23.00%,±0.3,"323,970","±7,456",42.20%,±0.8,"58,058","±2,864",29.60%,±1.3,"622,189","±10,646",27.60%,±0.4,"618,036","±10,319",32.00%,±0.5,"57,682","±3,619",10.60%,±0.7,"404,508","±8,070",24.20%,±0.5,"46,433","±3,019",26.80%,±1.8,"28,436","±2,671",3.60%,±0.3
VALUE,"        $500,000 to $999,999","81,862","±4,181",5.90%,±0.3,"23,199","±2,127",12.80%,±1.2,"363,242","±9,296",19.10%,±0.5,"37,580","±2,957",4.70%,±0.4,"3,163,235","±21,585",42.20%,±0.3,"561,861","±9,218",36.30%,±0.5,"140,332","±4,913",14.70%,±0.5,"34,792","±3,087",12.10%,±1.0,"59,363","±3,336",44.70%,±1.9,"805,046","±14,685",13.90%,±0.2,"306,883","±9,863",11.60%,±0.4,"151,573","±5,506",49.40%,±1.4,"117,021","±5,561",23.50%,±1.1,"312,247","±7,568",9.30%,±0.2,"89,017","±5,067",4.70%,±0.3,"41,254","±3,660",4.40%,±0.4,"49,276","±3,077",6.30%,±0.4,"59,851","±3,677",4.90%,±0.3,"66,684","±5,075",5.60%,±0.4,"51,205","±3,416",11.50%,±0.8,"380,529","±7,048",23.80%,±0.5,"657,832","±10,903",37.80%,±0.5,"192,293","±5,565",6.50%,±0.2,"201,851","±5,611",12.10%,±0.3,"25,453","±2,677",3.20%,±0.3,"102,013","±4,006",6.00%,±0.2,"59,163","±3,570",19.00%,±1.0,"29,610","±2,166",5.60%,±0.4,"145,487","±5,385",20.60%,±0.7,"73,016","±4,057",18.40%,±1.0,"621,122","±9,776",27.60%,±0.5,"49,034","±3,713",8.50%,±0.6,"1,171,766","±16,670",27.60%,±0.4,"302,882","±9,254",10.80%,±0.3,"12,921","±2,097",6.30%,±1.0,"161,275","±6,705",5.00%,±0.2,"43,854","±2,375",4.30%,±0.2,"336,820","±9,051",31.00%,±0.8,"324,489","±6,631",8.90%,±0.2,"51,110","±3,895",18.40%,±1.3,"131,751","±5,043",9.00%,±0.3,"18,145","±2,087",7.30%,±0.9,"198,411","±6,992",10.60%,±0.4,"713,343","±14,488",10.60%,±0.2,"232,207","±6,123",30.20%,±0.7,"22,716","±1,753",11.60%,±0.9,"514,144","±8,788",22.80%,±0.4,"708,089","±11,249",36.60%,±0.5,"15,176","±2,089",2.80%,±0.4,"120,296","±3,882",7.20%,±0.2,"17,257","±2,121",10.00%,±1.2,"10,759","±1,881",1.30%,±0.2
